model,channel,horizon_step,metric,value,n_frames,config_hash,exploratory,split,fold
persistence,F_R,5,SS_vs_ar,-0.12149845223964362,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,6,MSE,98213990.74881825,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,6,MAE,6049.98599245414,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,6,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,6,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,6,SS_vs_ar,-0.11881363132722056,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,7,MSE,113511148.29725921,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,7,MAE,6536.788564118132,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,7,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,7,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,7,SS_vs_ar,-0.11908057864599186,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,8,MSE,126502671.0076326,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,8,MAE,6952.326380155254,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,8,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,8,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,8,SS_vs_ar,-0.12249156461998623,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,9,MSE,137392902.45355392,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,9,MAE,7298.014029229368,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,9,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,9,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,9,SS_vs_ar,-0.12715613574540718,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,10,MSE,146580303.61839196,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,10,MAE,7594.185632507914,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,10,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,10,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,10,SS_vs_ar,-0.13363466268356006,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,MSE,154765835.82130623,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,MAE,7866.349559824797,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,SS_vs_ar,-0.14148404904607537,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,MSE,162446764.5181274,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,MAE,8107.122837070125,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,SS_vs_ar,-0.15069620273797657,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,MSE,170297885.53987598,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,MAE,8344.956632984951,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,SS_vs_ar,-0.1611611540206579,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,MSE,178852740.2767466,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,MAE,8607.093390866907,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,SS_vs_ar,-0.17151577543076346,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,MSE,188283194.86044493,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,MAE,8885.85962097229,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,SS_vs_ar,-0.18090455245981474,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,MSE,199501558.57630426,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,MAE,9213.19285311592,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,SS_vs_ar,-0.18671879967434246,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,MSE,210205426.75707966,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,MAE,9511.967626523267,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,SS_vs_ar,-0.19334921156870322,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,MSE,220639978.7053862,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,MAE,9793.744936900994,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,SS_vs_ar,-0.2002176398746942,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,MSE,230588942.3279197,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,MAE,10061.878420573312,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,SS_vs_ar,-0.20728217280564665,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,MSE,239965614.44028363,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,MAE,10309.256797779608,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,SS_vs_ar,-0.21448672294156435,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,MSE,248538512.10811397,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,MAE,10537.584413894792,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,SS_vs_ar,-0.22205004091808322,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,MSE,256605728.29955766,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,MAE,10758.093434233922,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,SS_vs_ar,-0.22921391579284212,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,MSE,264311791.58868554,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,MAE,10965.705125981178,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,SS_vs_ar,-0.2368338039651503,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,MSE,271815720.72227764,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,MAE,11166.042326206687,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,SS_vs_ar,-0.24472870050566353,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,MSE,279102351.04586065,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,MAE,11352.543800685198,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,SS_vs_ar,-0.2530822936414405,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,26,MSE,286329892.8445293,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,26,MAE,11532.595776052734,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,26,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,26,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,26,SS_vs_ar,-0.2615614206104271,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,27,MSE,293638813.1985992,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,27,MAE,11709.663363545687,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,27,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,27,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,27,SS_vs_ar,-0.2706331003293436,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,28,MSE,301162476.1414849,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,28,MAE,11890.864846697601,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,28,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,28,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,28,SS_vs_ar,-0.28004574556015593,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,29,MSE,308635226.71093714,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,29,MAE,12067.931588533762,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,29,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,29,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,29,SS_vs_ar,-0.28927905051898883,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,30,MSE,315760502.0182792,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,30,MAE,12229.3017260072,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,30,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,30,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,30,SS_vs_ar,-0.2981857065174416,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,all,MSE,187463321.8183139,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,all,MAE,8637.247469534672,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,all,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,all,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,all,SS_vs_ar,-0.2111056118716732,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,1,MSE,6.0516475189435824e-06,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,1,MAE,0.0016880797450954698,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,1,SS_vs_persistence,1.6524423007702183e-07,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,1,SS_vs_seasonal,1.6524423007702183e-07,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,1,SS_vs_ar,-0.04529959198337097,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,2,MSE,1.3429090447720736e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,2,MAE,0.0024102790631621474,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,2,SS_vs_persistence,7.446520144949176e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,2,SS_vs_seasonal,7.446520144949176e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,2,SS_vs_ar,-0.07732793502121837,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,3,MSE,2.210211071059519e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,3,MAE,0.0029772075056383606,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,3,SS_vs_persistence,4.524454555454582e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,3,SS_vs_seasonal,4.524454555454582e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,3,SS_vs_ar,-0.09091080917944017,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,4,MSE,3.128399672761551e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,4,MAE,0.003466989119466364,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,4,SS_vs_persistence,3.1965224245311674e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,4,SS_vs_seasonal,3.1965224245311674e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,4,SS_vs_ar,-0.09736903601473856,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,5,MSE,4.015994485945242e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,5,MAE,0.0038941717328176877,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,5,SS_vs_persistence,2.4900432049612675e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,5,SS_vs_seasonal,2.4900432049612675e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,5,SS_vs_ar,-0.10510646355041975,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,6,MSE,4.826443245448644e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,6,MAE,0.004248992051951482,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,6,SS_vs_persistence,2.0719190696461e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,6,SS_vs_seasonal,2.0719190696461e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,6,SS_vs_ar,-0.11583485579949082,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,7,MSE,5.560807579662992e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,7,MAE,0.004564817863626753,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,7,SS_vs_persistence,1.798299920086066e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,7,SS_vs_seasonal,1.798299920086066e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,7,SS_vs_ar,-0.12812154335484305,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,8,MSE,6.198605882746455e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,8,MAE,0.004835516993942618,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,8,SS_vs_persistence,1.6132659430567742e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,8,SS_vs_seasonal,1.6132659430567742e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,8,SS_vs_ar,-0.14273502593455145,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,9,MSE,6.784164682909043e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,9,MAE,0.005084730028104409,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,9,SS_vs_persistence,1.4740207943120254e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,9,SS_vs_seasonal,1.4740207943120254e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,9,SS_vs_ar,-0.1572013127666938,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,10,MSE,7.308211142006152e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,10,MAE,0.005299941715118871,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,10,SS_vs_persistence,1.3683238764272687e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,10,SS_vs_seasonal,1.3683238764272687e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,10,SS_vs_ar,-0.1721579926201411,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,11,MSE,7.801053295192995e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,11,MAE,0.00550179089343532,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,11,SS_vs_persistence,1.2818781591761308e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,11,SS_vs_seasonal,1.2818781591761308e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,11,SS_vs_ar,-0.18712266814450995,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,12,MSE,8.234804874796678e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,12,MAE,0.005672678115751454,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,12,SS_vs_persistence,1.2143578365098051e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,12,SS_vs_seasonal,1.2143578365098051e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,12,SS_vs_ar,-0.2028708960263883,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,13,MSE,8.66246562888682e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,13,MAE,0.005844494752529851,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,13,SS_vs_persistence,1.154405715464435e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,13,SS_vs_seasonal,1.154405715464435e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,13,SS_vs_ar,-0.21942013800192806,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,14,MSE,9.101609838359706e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,14,MAE,0.006019007887339304,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,14,SS_vs_persistence,1.0987067144974105e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,14,SS_vs_seasonal,1.0987067144974105e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,14,SS_vs_ar,-0.2365478203203919,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,15,MSE,9.532860692880773e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,15,MAE,0.006189636838398297,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,15,SS_vs_persistence,1.0490030399878947e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,15,SS_vs_seasonal,1.0490030399878947e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,15,SS_vs_ar,-0.2536234590100179,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,16,MSE,9.982120350950054e-05,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,16,MAE,0.006369635247825353,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,16,SS_vs_persistence,1.0017911500348475e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,16,SS_vs_seasonal,1.0017911500348475e-08,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,16,SS_vs_ar,-0.2691844102734804,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,17,MSE,0.0001040364668910331,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,17,MAE,0.006540356042672326,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,17,SS_vs_persistence,9.61201407356782e-09,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,17,SS_vs_seasonal,9.61201407356782e-09,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,17,SS_vs_ar,-0.2856097155093842,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,18,MSE,0.00010819584630361084,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,18,MAE,0.006705951335745224,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,18,SS_vs_persistence,9.242498877348737e-09,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,CoPx_R,18,SS_vs_seasonal,9.242498877348737e-09,1349118,916820c096c7666a,True,location-k4-fold0-seed0,0
